Year,Chamber,Count,Notes,chamber_ref,Measurement type
2021,1,189,NA,1,Chamber
2021,2,118,NA,2,Chamber
2021,3,176,NA,3,Chamber
2021,4,190,NA,4,Chamber
2021,5,173,NA,5,Chamber
2021,6,143,NA,6,Chamber
2021,7,198,NA,7,Chamber
2021,8,140,NA,8,Chamber
2021,9,130,NA,9,Chamber
2021,10,165,NA,10,Chamber
2021,11,186,NA,11,Chamber
2021,12,155,NA,12,Chamber
2021,Ref1,101,NA,1,Reference
2021,Ref2,75,NA,2,Reference
2021,Ref3,67,NA,3,Reference
2021,Ref4,113,NA,4,Reference
2021,Ref5,57,NA,5,Reference
2021,Ref6,75,NA,6,Reference
2021,Ref7,84,NA,7,Reference
2021,Ref8,58,NA,8,Reference
2021,Ref9,64,NA,9,Reference
2021,Ref10,78,NA,10,Reference
2021,Ref11,80,NA,11,Reference
2021,Ref12,67,NA,12,Reference
2022,1,160,NA,1,Chamber
2022,2,126,NA,2,Chamber
2022,3,136,NA,3,Chamber
2022,4,141,NA,4,Chamber
2022,5,171,NA,5,Chamber
2022,6,150,NA,6,Chamber
2022,7,141,NA,7,Chamber
2022,8,132,NA,8,Chamber
2022,9,165,NA,9,Chamber
2022,10,149,NA,10,Chamber
2022,11,149,NA,11,Chamber
2022,12,133,NA,12,Chamber
2022,Ref1,102,NA,1,Reference
2022,Ref2,47,NA,2,Reference
2022,Ref3,89,NA,3,Reference
2022,Ref4,132,NA,4,Reference
2022,Ref5,124,NA,5,Reference
2022,Ref6,92,NA,6,Reference
2022,Ref7,121,NA,7,Reference
2022,Ref8,68,NA,8,Reference
2022,Ref9,101,NA,9,Reference
2022,Ref10,62,NA,10,Reference
2022,Ref11,80,NA,11,Reference
2022,Ref12,101,NA,12,Reference
2023,1,109,NA,1,Chamber
2023,2,78,NA,2,Chamber
2023,3,88,NA,3,Chamber
2023,4,93,NA,4,Chamber
2023,5,127,NA,5,Chamber
2023,6,56,NA,6,Chamber
2023,7,84,NA,7,Chamber
2023,8,72,NA,8,Chamber
2023,9,101,NA,9,Chamber
2023,10,108,NA,10,Chamber
2023,11,123,NA,11,Chamber
2023,12,83,NA,12,Chamber
2023,Ref1,70,NA,1,Reference
2023,Ref2,36,NA,2,Reference
2023,Ref3,45,NA,3,Reference
2023,Ref4,85,NA,4,Reference
2023,Ref5,49,NA,5,Reference
2023,Ref6,29,NA,6,Reference
2023,Ref7,71,NA,7,Reference
2023,Ref8,57,NA,8,Reference
2023,Ref9,47,NA,9,Reference
2023,Ref10,36,NA,10,Reference
2023,Ref11,51,NA,11,Reference
2023,Ref12,62,NA,12,Reference
2024,1,147,NA,1,Chamber
2024,2,149,NA,2,Chamber
2024,3,152,NA,3,Chamber
2024,4,118,NA,4,Chamber
2024,5,165,NA,5,Chamber
2024,6,104,NA,6,Chamber
2024,7,103,NA,7,Chamber
2024,8,86,NA,8,Chamber
2024,9,128,NA,9,Chamber
2024,10,124,NA,10,Chamber
2024,11,138,NA,11,Chamber
2024,12,120,NA,12,Chamber
2024,Ref1,118,NA,1,Reference
2024,Ref2,59,NA,2,Reference
2024,Ref3,120,NA,3,Reference
2024,Ref4,113,NA,4,Reference
2024,Ref5,105,NA,5,Reference
2024,Ref6,89,NA,6,Reference
2024,Ref7,94,NA,7,Reference
2024,Ref8,97,NA,8,Reference
2024,Ref9,108,NA,9,Reference
2024,Ref10,69,NA,10,Reference
2024,Ref11,81,NA,11,Reference
2024,Ref12,96,NA,12,Reference
2025,1,147,NA,1,Chamber
2025,2,124,NA,2,Chamber
2025,3,163,NA,3,Chamber
2025,4,113,NA,4,Chamber
2025,5,147,NA,5,Chamber
2025,6,124,NA,6,Chamber
2025,7,102,NA,7,Chamber
2025,8,81,NA,8,Chamber
2025,9,129,NA,9,Chamber
2025,10,103,NA,10,Chamber
2025,11,118,NA,11,Chamber
2025,12,160,NA,12,Chamber
2025,Ref1,119,NA,1,Reference
2025,Ref2,24,NA,2,Reference
2025,Ref3,98,NA,3,Reference
2025,Ref4,118,NA,4,Reference
2025,Ref5,86,NA,5,Reference
2025,Ref6,96,NA,6,Reference
2025,Ref7,96,NA,7,Reference
2025,Ref8,74,NA,8,Reference
2025,Ref9,87,NA,9,Reference
2025,Ref10,106,NA,10,Reference
2025,Ref11,92,NA,11,Reference
2025,Ref12,117,NA,12,Reference
